part_id,click_dt,bounce_dt,open_dt
1054161513,,,
5761909860,,,
9130086586,,,
5496433327,,,
8917877079,,,12/14/2020 0:00
2290016446,,,
2057483407,1/10/2021 0:00,,12/16/2020 0:00
2589661237,,,
7772898223,,,
6396357382,,,
467838980,,,
8025989118,,,
6072638777,,,10/7/2020 0:00
1580127063,,,10/7/2020 0:00
9493848431,1/19/2021 0:00,,10/19/2020 0:00
3108936366,,,
804907002,,,
3917419618,,,12/28/2020 0:00
5322875631,,,
8045991761,12/5/2020 0:00,,11/19/2020 0:00
279232689,,,
9623237912,,,
5678864990,,,10/23/2020 0:00
8135766963,,,
6410237786,,,
4900311067,,,
5417153824,,,12/24/2020 0:00
4167117965,2/9/2021 0:00,,1/23/2021 0:00
6931520414,,,
1656066843,,,
7518856434,,,11/12/2020 0:00
2104878259,,,
3328735231,,,10/24/2020 0:00
5132272393,,,
5768265900,,,9/9/2020 0:00
6309617720,1/8/2021 0:00,,12/22/2020 0:00
5104683670,,,
4934264905,12/30/2020 0:00,,12/12/2020 0:00
5582493593,,,8/14/2020 0:00
3853093297,,,1/4/2021 0:00
3134935042,11/1/2020 0:00,,9/28/2020 0:00
3461136762,,,9/2/2020 0:00
9583001403,,,10/18/2020 0:00
7637598617,,,
3005234178,,,
6465081509,,,
5137285088,,,
6165669036,11/7/2020 0:00,,7/30/2020 0:00
3457199215,,,10/7/2020 0:00
9475267699,1/7/2021 0:00,,9/9/2020 0:00
8585411449,,,
6373958861,,,
6002842527,,,10/1/2020 0:00
6383658846,12/17/2020 0:00,,11/12/2020 0:00
7691670347,,,
5983905498,,,
8031628010,,,12/3/2020 0:00
7834209302,,,9/16/2020 0:00
1177981127,12/12/2020 0:00,,11/12/2020 0:00
9708305172,,,
874013924,,,1/29/2021 0:00
8924564372,,,
4284830683,,,12/21/2020 0:00
6621143019,,,
7359848765,,,8/14/2020 0:00
2849110666,1/31/2021 0:00,,1/19/2021 0:00
3772538625,1/19/2021 0:00,,11/18/2020 0:00
1073435194,,,9/3/2020 0:00
7616044203,,,
496259218,2/8/2021 0:00,,9/20/2020 0:00
5564175184,,,
3246965229,,,
7621507892,,,11/16/2020 0:00
2650528769,,,10/20/2020 0:00
8687613569,,,
856195304,,,
2802101412,1/6/2021 0:00,,12/9/2020 0:00
1172782033,11/9/2020 0:00,,8/22/2020 0:00
201802515,1/22/2021 0:00,,9/7/2020 0:00
872282408,11/2/2020 0:00,,10/10/2020 0:00
631617944,,,
667563238,10/17/2020 0:00,,8/2/2020 0:00
1196384756,,,
1478479856,,,
8970198628,1/7/2021 0:00,,9/30/2020 0:00
7056612837,,,
4312548025,,,9/2/2020 0:00
1470232277,,,
2372351756,,,
2393464061,,,
1825416626,,,
5970647715,,,
6703099255,,,
3868730277,,,
4843906271,11/20/2020 0:00,,8/2/2020 0:00
9840967334,,,
2409481736,,,
7171799534,12/19/2020 0:00,,11/4/2020 0:00
8190880048,,,
4189370680,,,
4501092659,,,
2198144216,,,
1785982015,,,
7541363428,,,
4623213120,,,8/11/2020 0:00
1278366053,2/12/2021 0:00,,1/28/2021 0:00
7611480224,,,10/24/2020 0:00
8812628620,,,
4790402186,,,7/30/2020 0:00
9519541308,,,10/12/2020 0:00
3495833906,,,
1717211143,,,
9320448907,,,
7705256355,,,
8444007798,,,
6909696338,,,
5944750613,,,
5568812318,,,1/5/2021 0:00
6294327860,,,11/27/2020 0:00
1531160822,1/18/2021 0:00,,8/18/2020 0:00
4386273699,,,
9590712654,,,11/2/2020 0:00
8269942786,,,
8756256751,1/26/2021 0:00,,8/8/2020 0:00
7908102220,,,
3419072220,,,
4049024708,,,10/15/2020 0:00
5690606015,,,
6064193491,,,
5429978841,,,1/19/2021 0:00
3748777399,,,
8272895051,,,
4313334440,,,9/28/2020 0:00
8934619008,12/20/2020 0:00,,10/23/2020 0:00
2626678846,,,
9524749271,,,
1474094205,,,
9248048107,,,11/22/2020 0:00
4546966240,,,
2143860141,,,
8091018251,9/15/2020 0:00,,8/23/2020 0:00
9166632767,,,
7595813099,,,
9201849051,,,
4521301442,,,
1269061143,,,
9583860343,10/28/2020 0:00,,10/14/2020 0:00
8423794690,,,
4076980581,,,
9795644410,,,11/4/2020 0:00
223423533,1/14/2021 0:00,,1/4/2021 0:00
4373209792,1/23/2021 0:00,,12/21/2020 0:00
7516850086,,,12/26/2020 0:00
5518870639,,,12/21/2020 0:00
2822255157,1/3/2021 0:00,,11/13/2020 0:00
9184728225,,,12/12/2020 0:00
9853646243,1/29/2021 0:00,,11/7/2020 0:00
8827909949,1/26/2021 0:00,,11/5/2020 0:00
9880646807,,,
1857685415,1/28/2021 0:00,,8/27/2020 0:00
160017490,,,10/16/2020 0:00
8056572284,11/16/2020 0:00,,11/12/2020 0:00
9183509243,10/9/2020 0:00,,9/29/2020 0:00
8812067625,12/19/2020 0:00,,11/17/2020 0:00
5994385593,10/1/2020 0:00,,8/20/2020 0:00
4244482507,1/10/2021 0:00,,11/15/2020 0:00
7439359539,,,
6112970280,,,8/29/2020 0:00
951041747,10/20/2020 0:00,,8/5/2020 0:00
3175712554,,,
6924821736,1/24/2021 0:00,,10/24/2020 0:00
8550650916,,,
9784257148,,,
7193153416,,,
5830167067,,,11/11/2020 0:00
3804843179,,,8/23/2020 0:00
3578739598,,,11/4/2020 0:00
6152853741,,,11/7/2020 0:00
9260468814,,,12/27/2020 0:00
9476555167,,,10/1/2020 0:00
2726348712,12/10/2020 0:00,,11/3/2020 0:00
4240491860,,,
1372571349,,,
2312062620,12/3/2020 0:00,,8/26/2020 0:00
984342377,,,8/21/2020 0:00
7594071226,,,9/5/2020 0:00
1307750544,,,9/5/2020 0:00
2977909738,1/22/2021 0:00,,12/31/2020 0:00
5036489205,,,
5357236996,,,
8771010311,,,
8292387535,,,
6718632986,,,
9882408296,,,8/7/2020 0:00
526259437,,,
2919028100,,,1/20/2021 0:00
9493151996,,,
3507064546,,,8/12/2020 0:00
7518995539,,,8/28/2020 0:00
304142969,1/30/2021 0:00,,12/29/2020 0:00
3748261697,,,
5590846350,1/13/2021 0:00,,8/20/2020 0:00
3149275708,,,
3914213395,,,
5488813108,,,8/20/2020 0:00
4237270638,10/23/2020 0:00,,10/22/2020 0:00
1957592667,1/28/2021 0:00,,9/8/2020 0:00
7764335933,,,
8542366467,,,12/1/2020 0:00
1798776959,,,9/26/2020 0:00
6264457829,,,
3670276198,,,8/29/2020 0:00
8357777351,,,1/31/2021 0:00
2258325312,,,1/13/2021 0:00
4338429959,,,1/14/2021 0:00
4748934390,12/10/2020 0:00,,8/21/2020 0:00
4296395973,,,9/25/2020 0:00
9679290960,,,
9389615693,,,
833766659,,,11/23/2020 0:00
2774665329,,,
2068338238,,,
5688398392,,,
8348728999,,,
3345790219,,,10/21/2020 0:00
7622065526,,,
5835125440,,,
4122882826,,,
8855140457,,,
9465523732,,,12/25/2020 0:00
7939844023,,,
6011542059,,,9/6/2020 0:00
2450923260,,,
5333605262,,,9/18/2020 0:00
6774682981,,,
8229088239,,,
8348291602,,,
222833678,,,11/22/2020 0:00
8480742959,2/5/2021 0:00,,8/30/2020 0:00
2465760540,,,12/2/2020 0:00
640880897,,,12/26/2020 0:00
952859358,,,12/15/2020 0:00
5632810967,,,10/23/2020 0:00
8095475252,,,
4716263992,,,11/11/2020 0:00
9116065309,,,
4065625507,,,
7992452952,,,9/26/2020 0:00
3288261088,8/19/2020 0:00,,8/18/2020 0:00
8847924925,,,
9431214305,,,12/30/2020 0:00
6010626793,,,1/6/2021 0:00
3901904462,,,
9539670591,,,
603425387,,,
7434553569,,,
9589626331,,,12/19/2020 0:00
1569643430,,,11/11/2020 0:00
7084546146,,,
2342230691,,,
1629447165,,,
8752905012,,,8/16/2020 0:00
7561782872,,,
3786521271,2/1/2021 0:00,,1/18/2021 0:00
7273209006,,,
8069346602,,,
6126185915,,,
70877652,9/29/2020 0:00,,9/23/2020 0:00
5767449548,,,
1109653612,,,9/24/2020 0:00
1012673476,,,
7814899088,,,1/2/2021 0:00
2540730377,,,
7555634601,,,
5345323081,,,
1788588899,2/9/2021 0:00,,11/29/2020 0:00
7245035715,2/5/2021 0:00,,10/19/2020 0:00
9202713190,,,9/12/2020 0:00
6288655000,,,
7820191510,,,
626732306,,,
293572411,12/5/2020 0:00,,9/18/2020 0:00
3133654408,1/24/2021 0:00,,1/16/2021 0:00
6885089230,,,
2389274579,,,
3815279048,1/30/2021 0:00,,9/4/2020 0:00
7597076962,,,
291830828,,,10/17/2020 0:00
3674986551,,,
9802638146,2/7/2021 0:00,,10/16/2020 0:00
6515934269,10/27/2020 0:00,,7/30/2020 0:00
9819435905,,,
1624599208,,,
6652657209,,,8/27/2020 0:00
6281566804,,,
5442703718,,,
8993149929,,,
707755251,,,
131177040,11/4/2020 0:00,,8/3/2020 0:00
5239104841,11/28/2020 0:00,,10/12/2020 0:00
6155311207,1/8/2021 0:00,,11/27/2020 0:00
8173803756,,,9/2/2020 0:00
3074251650,,,1/24/2021 0:00
8941423095,,,
7654787610,,,
4889711070,,,1/29/2021 0:00
1751775818,,,
202938488,,,
7080787001,12/2/2020 0:00,,11/3/2020 0:00
6823917297,,,
2090201989,12/19/2020 0:00,,12/12/2020 0:00
89330656,,,
3589590221,,,
3184896436,2/6/2021 0:00,,1/15/2021 0:00
9221043616,,,8/22/2020 0:00
2800660745,1/30/2021 0:00,,10/17/2020 0:00
2372676862,,,
7235383310,,,
7735614992,12/30/2020 0:00,,10/26/2020 0:00
3386660386,,,
2970735835,11/1/2020 0:00,,8/18/2020 0:00
6401700721,,,
4350810510,,,8/2/2020 0:00
1537595949,12/15/2020 0:00,,11/10/2020 0:00
8600440878,,,
762146746,1/31/2021 0:00,,1/6/2021 0:00
2880354158,,,
9922825469,,,
6494270248,,,11/29/2020 0:00
9990321344,,,
2643672595,,,
6541339329,,,9/24/2020 0:00
5696657306,,,
1811048917,,,
5205236075,,,12/23/2020 0:00
9399798619,,,9/9/2020 0:00
6916352431,10/5/2020 0:00,,8/21/2020 0:00
1084479105,,,8/10/2020 0:00
4670519708,,,
936773592,,,
8158173082,,,8/7/2020 0:00
7138445311,,,
9614563912,,,
7486809425,,,1/5/2021 0:00
1354215725,,,11/13/2020 0:00
5802981411,,,9/30/2020 0:00
2211307803,,,
2611118111,,,
4750213930,,,10/30/2020 0:00
4860607301,2/7/2021 0:00,,11/30/2020 0:00
1470102606,,,
9914444042,,,1/4/2021 0:00
9863773414,1/6/2021 0:00,,8/11/2020 0:00
5684343401,,,
8339575472,2/5/2021 0:00,,10/1/2020 0:00
5367618182,11/9/2020 0:00,,10/23/2020 0:00
3585938168,,,11/13/2020 0:00
2864358788,,,
2388678231,12/27/2020 0:00,,12/25/2020 0:00
9650401994,1/23/2021 0:00,,8/25/2020 0:00
613780955,10/26/2020 0:00,,10/16/2020 0:00
7112693147,,,
3358991589,12/14/2020 0:00,,9/11/2020 0:00
4445091737,1/16/2021 0:00,,12/18/2020 0:00
2908554292,,,
3005287303,,,9/5/2020 0:00
5184069515,,,
617059466,,,
7165489550,1/15/2021 0:00,,9/27/2020 0:00
4132265018,,,
8864490735,,,
2227109373,,,
9266504161,,,1/25/2021 0:00
144395525,,,
6228403472,,,
2563483046,,,
7027298447,12/6/2020 0:00,,10/12/2020 0:00
4015297409,,,
8850236122,1/3/2021 0:00,,12/3/2020 0:00
8735609834,,,
7682710351,2/4/2021 0:00,,1/29/2021 0:00
4112926517,,,
3066448852,,,
6912985217,,,11/30/2020 0:00
2185341030,11/3/2020 0:00,,10/30/2020 0:00
175808599,,,
4175544796,,,
150058679,1/31/2021 0:00,,11/1/2020 0:00
4016430212,,,
6458721002,,,
2354436491,,,8/28/2020 0:00
1915558140,,,10/22/2020 0:00
517543740,,,
3644603225,,,
