part_id,fund_ct,logon_ct,call_ct,balance,tenure,age,gender,status,campaign
1054161513,6,11,1,70377.57,6,44.2,0,0,0
5761909860,7,13,2,63505.69,6.6,44.2,0,1,1
9130086586,6,13,2,55933.94,5.9,43.7,1,0,1
5496433327,6,12,2,81072.63,5.5,45.5,0,1,1
8917877079,8,12,0,87534.41,3.8,45.3,1,0,0
2290016446,8,13,0,58230.81,7.7,46.9,1,1,0
2057483407,6,11,0,62525.32,6,45.3,0,0,0
2589661237,6,12,0,62312.19,6.7,44.2,0,0,0
7772898223,7,12,2,72888.63,6.1,44.1,1,0,1
6396357382,6,12,2,40425.5,7.2,44.4,0,0,1
467838980,7,13,0,45812.62,5.8,44.2,0,1,0
8025989118,6,12,0,37796.09,5.8,44.7,0,1,0
6072638777,8,10,2,81387.55,6.4,44.5,0,0,1
1580127063,7,14,0,74052.29,7.9,44,0,0,0
9493848431,6,13,0,46910.19,7.5,46.4,0,0,0
3108936366,8,13,0,57239.54,5.1,46.8,0,1,0
804907002,6,12,0,50618.37,7.5,44.6,1,1,0
3917419618,7,12,2,50902.74,6.8,43.9,1,1,1
5322875631,5,12,2,59140.69,6.1,44.4,1,0,1
8045991761,6,11,2,83381.72,5.5,44.4,1,0,1
279232689,6,13,2,56073.39,4.3,46,0,1,1
9623237912,6,13,0,82709.65,5.2,43.6,0,0,0
5678864990,8,14,0,54255.44,6.4,44.1,1,0,0
8135766963,6,13,0,61079.44,6.4,43.6,0,0,0
6410237786,7,12,0,67933.32,5.7,44.5,0,1,0
4900311067,6,10,2,36459.11,6.4,45.2,0,0,1
5417153824,7,12,2,54721.85,5.6,44.8,0,1,1
4167117965,6,11,2,89871.35,6.7,44.7,0,0,1
6931520414,5,11,0,40998.54,7.1,45.3,0,0,0
1656066843,6,12,0,86179,5.3,44,0,0,0
7518856434,7,14,2,41522.82,6.6,43.4,1,0,1
2104878259,6,13,0,50507.14,6.6,44.2,0,1,0
3328735231,6,12,2,60846.15,7.4,44.4,0,0,1
5132272393,6,13,0,55801.49,6.3,43.8,0,0,0
5768265900,6,13,0,72331.35,6.1,43.6,0,0,0
6309617720,6,11,2,36476.31,7.2,45.8,1,0,1
5104683670,5,10,0,71204.52,5,45,1,0,0
4934264905,6,11,0,53140.02,5.9,44.9,1,1,0
5582493593,6,11,0,70610.76,6.2,44.3,0,0,0
3853093297,9,13,2,60240.56,5.8,46.8,0,0,1
3134935042,6,11,2,68382.07,5.8,44.5,0,0,1
3461136762,7,13,2,47808.73,5,44.4,0,0,1
9583001403,6,11,2,68309.5,6.3,44.7,0,1,1
7637598617,6,11,2,60351.69,5.9,44.4,0,0,1
3005234178,7,13,1,46459.97,6.8,44.1,1,1,0
6465081509,7,12,0,50576.05,4.8,44,0,0,0
5137285088,8,16,2,67600.89,6,48,0,1,1
6165669036,6,12,0,63470.46,6.1,44.4,1,1,0
3457199215,6,12,0,41067.64,5.2,44.5,1,0,0
9475267699,6,12,2,74705.09,8.1,44,0,0,1
